ee_x,ee_y,ee_z,distance,delta_6axis,delta_3axis,joint0_delta,joint1_delta,joint2_delta,joint3_delta,joint4_delta,joint5_delta
0.020168721675872803,-0.009900614619255066,-0.5186644792556763,2.563120149630386,7.288082051282052,7.288082051282052,3.1416,2.0700076923076924,2.076474358974359,0.0,0.0,0.0
0.09298261255025864,-0.00990111380815506,-0.6169712543487549,2.6629685643623464,7.144876923076923,7.144876923076923,3.1416,2.0700076923076924,1.9332692307692307,0.0,0.0,0.0
0.17908091843128204,-0.009901680052280426,-0.7038799524307251,2.7540795297189535,7.001671794871795,7.001671794871795,3.1416,2.0700076923076924,1.7900641025641026,0.0,0.0,0.0
0.2767012417316437,-0.009902290999889374,-0.7776113748550415,2.8355137664133885,6.858466666666667,6.858466666666667,3.1416,2.0700076923076924,1.6468589743589743,0.0,0.0,0.0
0.38384518027305603,-0.009903140366077423,-0.8366562724113464,2.906481895803829,6.715261538461538,6.715261538461538,3.1416,2.0700076923076924,1.503653846153846,0.0,0.0,0.0
0.49831900000572205,-0.009903915226459503,-0.8798052668571472,2.966328401726012,6.572056410256411,6.572056410256411,3.1416,2.0700076923076924,1.360448717948718,0.0,0.0,0.0
0.6177781224250793,-0.009904731065034866,-0.9061757922172546,3.0145228254783407,6.428851282051283,6.428851282051283,3.1416,2.0700076923076924,1.2172435897435898,0.0,0.0,0.0
0.7397783994674683,-0.00990542396903038,-0.9152272343635559,3.0506497820296836,6.285646153846154,6.285646153846154,3.1416,2.0700076923076924,1.0740384615384615,0.0,0.0,0.0
0.8618215322494507,-0.009906243532896042,-0.9067746996879578,3.074405424385056,6.142441025641026,6.142441025641026,3.1416,2.0700076923076924,0.9308333333333332,0.0,0.0,0.0
0.9814093112945557,-0.009907152503728867,-0.8809910416603088,3.085592701352406,5.999235897435899,5.999235897435899,3.1416,2.0700076923076924,0.7876282051282053,0.0,0.0,0.0
1.0960931777954102,-0.009908054023981094,-0.8384040594100952,3.084119532274458,5.85603076923077,5.85603076923077,3.1416,2.0700076923076924,0.644423076923077,0.0,0.0,0.0
1.203525424003601,-0.009908709675073624,-0.77988600730896,3.0699984251181993,5.712825641025642,5.712825641025642,3.1416,2.0700076923076924,0.5012179487179487,0.0,0.0,0.0
1.301506757736206,-0.009909171611070633,-0.7066344618797302,3.0433452777672976,5.569620512820514,5.569620512820514,3.1416,2.0700076923076924,0.35801282051282035,0.0,0.0,0.0
1.3880302906036377,-0.009909916669130325,-0.6201493144035339,3.0043815394560274,5.426415384615385,5.426415384615385,3.1416,2.0700076923076924,0.21480769230769203,0.0,0.0,0.0
1.4613255262374878,-0.009910333901643753,-0.5222012996673584,2.953437215967632,5.283210256410257,5.283210256410257,3.1416,2.0700076923076924,0.07160256410256416,0.0,0.0,0.0
1.5198923349380493,-0.009910613298416138,-0.4147946536540985,2.89095302402501,5.283210256410257,5.283210256410257,3.1416,2.0700076923076924,0.07160256410256416,0.0,0.0,0.0
1.5625303983688354,-0.009910911321640015,-0.3001301884651184,2.817489010201367,5.426415384615385,5.426415384615385,3.1416,2.0700076923076924,0.21480769230769248,0.0,0.0,0.0
1.5883675813674927,-0.009910918772220612,-0.18055376410484314,2.7337293257385333,5.569620512820514,5.569620512820514,3.1416,2.0700076923076924,0.35801282051282035,0.0,0.0,0.0
1.5968748331069946,-0.009910911321640015,-0.05851389467716217,2.640497248562275,5.712825641025642,5.712825641025642,3.1416,2.0700076923076924,0.5012179487179487,0.0,0.0,0.0
1.5878779888153076,-0.00991075485944748,0.06349056214094162,2.5387699362712954,5.85603076923077,5.85603076923077,3.1416,2.0700076923076924,0.644423076923077,0.0,0.0,0.0
1.561561107635498,-0.009910553693771362,0.18296217918395996,2.429699957761569,5.999235897435899,5.999235897435899,3.1416,2.0700076923076924,0.7876282051282053,0.0,0.0,0.0
1.518463134765625,-0.00991029292345047,0.2974550127983093,2.3146464261191695,6.142441025641027,6.142441025641027,3.1416,2.0700076923076924,0.9308333333333336,0.0,0.0,0.0
1.4594664573669434,-0.009909793734550476,0.4046249985694885,2.195214545236364,6.285646153846154,6.285646153846154,3.1416,2.0700076923076924,1.0740384615384615,0.0,0.0,0.0
1.3857789039611816,-0.009909309446811676,0.5022781491279602,2.0733077659722876,6.428851282051282,6.428851282051282,3.1416,2.0700076923076924,1.2172435897435894,0.0,0.0,0.0
1.2989088296890259,-0.009908623993396759,0.5884153842926025,1.9511931684692936,6.57205641025641,6.57205641025641,3.1416,2.0700076923076924,1.3604487179487177,0.0,0.0,0.0
1.2006345987319946,-0.009908124804496765,0.6612731218338013,1.8315778726795642,6.715261538461538,6.715261538461538,3.1416,2.0700076923076924,1.503653846153846,0.0,0.0,0.0
1.0929683446884155,-0.009907238185405731,0.7193598747253418,1.7176835986877643,6.858466666666667,6.858466666666667,3.1416,2.0700076923076924,1.6468589743589743,0.0,0.0,0.0
0.9781143665313721,-0.009906433522701263,0.7614861726760864,1.6132916446847019,7.001671794871795,7.001671794871795,3.1416,2.0700076923076924,1.7900641025641026,0.0,0.0,0.0
0.8584242463111877,-0.009905699640512466,0.7867893576622009,1.5227002987240092,7.144876923076923,7.144876923076923,3.1416,2.0700076923076924,1.933269230769231,0.0,0.0,0.0
0.7363479137420654,-0.009904857724905014,0.7947521805763245,1.4505064940889383,7.288082051282052,7.288082051282052,3.1416,2.0700076923076924,2.0764743589743593,0.0,0.0,0.0
0.6143845319747925,-0.009904172271490097,0.7852112054824829,1.4011295875945353,7.43128717948718,7.43128717948718,3.1416,2.0700076923076924,2.2196794871794876,0.0,0.0,0.0
0.49503156542778015,-0.009903255850076675,0.7583619356155396,1.3780726410254627,7.574492307692308,7.574492307692308,3.1416,2.0700076923076924,2.362884615384616,0.0,0.0,0.0
0.38073205947875977,-0.009902361780405045,0.7147539854049683,1.3831271873911988,7.717697435897437,7.717697435897437,3.1416,2.0700076923076924,2.5060897435897433,0.0,0.0,0.0
