uoc,state,action,next_state,reward
3,"0.5503841,-0.3731949,0.6291549,-0.012841113,0.043718006,0.5897199,-0.070701756,0.017660819,0.2237676","0.93446934,-0.30616778,0.9507921","0.6396192,-0.41529146,0.73129916,-0.032646116,0.05596013,0.45822787,-0.070701756,0.017660819,0.2237676",0.0
3,"0.6396192,-0.41529146,0.73129916,-0.032646116,0.05596013,0.45822787,-0.070701756,0.017660819,0.2237676","0.8929138,-0.3522172,0.93661416","0.724886,-0.46371955,0.83192027,-0.04616693,0.045175236,0.3184279,-0.070701756,0.017660819,0.2237676",0.0
3,"0.724886,-0.46371955,0.83192027,-0.04616693,0.045175236,0.3184279,-0.070701756,0.017660819,0.2237676","0.8852768,-0.17794758,0.6433065","0.8094235,-0.48818648,0.90103114,-0.0562081,0.031339105,0.21644291,-0.070701756,0.017660819,0.2237676",0.0
3,"0.8094235,-0.48818648,0.90103114,-0.0562081,0.031339105,0.21644291,-0.070701756,0.017660819,0.2237676","0.6401316,0.100807786,-0.08048403","0.8705514,-0.47432598,0.8923848,-0.068310946,0.023116332,0.22755,-0.070701756,0.017660819,0.2237676",0.0
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.2868421,-0.4496491,0.78797925","-0.8497838,0.9829874,0.8095286","-0.08114818,0.13515571,0.08696816,0.38826573,-0.09520166,0.89072025,0.2868421,-0.4496491,0.78797925",0.0
3,"-0.08114818,0.13515571,0.08696816,0.38826573,-0.09520166,0.89072025,0.2868421,-0.4496491,0.78797925","-0.9189699,0.7875333,0.7587038","-0.16890314,0.24343751,0.1684762,0.5820726,-0.33482343,0.65962,0.2868421,-0.4496491,0.78797925",0.0
3,"-0.16890314,0.24343751,0.1684762,0.5820726,-0.33482343,0.65962,0.2868421,-0.4496491,0.78797925","-0.8973596,-0.30657053,-0.08700627","-0.25459448,0.20128566,0.15912907,0.41988796,-0.42388132,0.7366755,0.2868421,-0.4496491,0.78797925",0.0
3,"-0.25459448,0.20128566,0.15912907,0.41988796,-0.42388132,0.7366755,0.2868421,-0.4496491,0.78797925","-0.5894438,-0.46137047,0.14946282","-0.3108821,0.13784961,0.17518596,0.28556818,-0.4123758,0.80312437,0.2868421,-0.4496491,0.78797925",0.0
3,"-0.3108821,0.13784961,0.17518596,0.28556818,-0.4123758,0.80312437,0.2868421,-0.4496491,0.78797925","-0.17311335,0.00097441673,0.17117596","-0.32741314,0.1379836,0.19357552,0.27297798,-0.44191816,0.78205436,0.2868421,-0.4496491,0.78797925",0.0
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.060058482,-0.6544444,0.51169205","0.92384493,-0.9895221,-0.7582927","0.08822048,-0.1360542,-0.08146386,-0.38138446,-0.10247535,0.8942011,-0.060058482,-0.6544444,0.51169205",0.0
3,"0.08822048,-0.1360542,-0.08146386,-0.38138446,-0.10247535,0.8942011,-0.060058482,-0.6544444,0.51169205","0.9874333,-0.837826,0.46870375","0.18251319,-0.25125098,-0.031110698,-0.4686667,-0.29575124,0.8035198,-0.060058482,-0.6544444,0.51169205",0.0
3,"0.18251319,-0.25125098,-0.031110698,-0.4686667,-0.29575124,0.8035198,-0.060058482,-0.6544444,0.51169205","0.99590445,-0.7055803,0.8636303","0.27761483,-0.3482647,0.061669692,-0.40165862,-0.46918178,0.7477194,-0.060058482,-0.6544444,0.51169205",0.0
3,"0.27761483,-0.3482647,0.061669692,-0.40165862,-0.46918178,0.7477194,-0.060058482,-0.6544444,0.51169205","0.9927068,-0.6567086,0.9034333","0.37241113,-0.43855882,0.15872616,-0.25879335,-0.5958535,0.68712896,-0.060058482,-0.6544444,0.51169205",0.0
3,"0.37241113,-0.43855882,0.15872616,-0.25879335,-0.5958535,0.68712896,-0.060058482,-0.6544444,0.51169205","0.920812,-0.41935492,0.87093985","0.460342,-0.49621803,0.25229183,-0.08291954,-0.61552644,0.66058844,-0.060058482,-0.6544444,0.51169205",0.0
3,"0.460342,-0.49621803,0.25229183,-0.08291954,-0.61552644,0.66058844,-0.060058482,-0.6544444,0.51169205","0.22840405,-0.56652606,0.85455585","0.48215294,-0.57411253,0.34409735,-0.040139664,-0.6118882,0.5901998,-0.060058482,-0.6544444,0.51169205",0.0
3,"0.48215294,-0.57411253,0.34409735,-0.040139664,-0.6118882,0.5901998,-0.060058482,-0.6544444,0.51169205","-0.10001308,-0.5612371,0.74547994","0.47260243,-0.65127975,0.42418477,-0.057840846,-0.6030269,0.50788975,-0.060058482,-0.6544444,0.51169205",0.0
3,"0.47260243,-0.65127975,0.42418477,-0.057840846,-0.6030269,0.50788975,-0.060058482,-0.6544444,0.51169205","-0.0068696737,-0.24527818,0.14456463","0.47194642,-0.6850043,0.4397155,-0.060731962,-0.62156296,0.46330303,-0.060058482,-0.6544444,0.51169205",0.0
3,"0.47194642,-0.6850043,0.4397155,-0.060731962,-0.62156296,0.46330303,-0.060058482,-0.6544444,0.51169205","-0.014771819,0.050470233,-0.20891511","0.47053578,-0.67806494,0.41727167,-0.06553259,-0.6433361,0.46402878,-0.060058482,-0.6544444,0.51169205",0.0
3,"0.47053578,-0.67806494,0.41727167,-0.06553259,-0.6433361,0.46402878,-0.060058482,-0.6544444,0.51169205","-0.017069936,0.1487019,-0.22428912","0.46890575,-0.65761924,0.3931762,-0.06963034,-0.6511954,0.48445854,-0.060058482,-0.6544444,0.51169205",0.0
3,"0.46890575,-0.65761924,0.3931762,-0.06963034,-0.6511954,0.48445854,-0.060058482,-0.6544444,0.51169205","-0.006987989,0.09720063,-0.0869413","0.4682384,-0.64425474,0.38383606,-0.070635274,-0.647452,0.50095165,-0.060058482,-0.6544444,0.51169205",0.0
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.0011695907,-0.0057894737,0.23331277","0.9558258,-0.9626616,0.98583794","0.091274425,-0.13236104,0.105909236,-0.1332912,-0.033268623,0.97057,0.0011695907,-0.0057894737,0.23331277",0.0
3,"0.091274425,-0.13236104,0.105909236,-0.1332912,-0.033268623,0.97057,0.0011695907,-0.0057894737,0.23331277","0.97314525,-0.8068372,0.9776243","0.18420272,-0.24329704,0.21093608,-0.18826139,-0.11607588,0.9164872,0.0011695907,-0.0057894737,0.23331277",0.0
3,"0.18420272,-0.24329704,0.21093608,-0.18826139,-0.11607588,0.9164872,0.0011695907,-0.0057894737,0.23331277","0.9589288,-0.39868307,0.9827769","0.27577347,-0.29811397,0.3165165,-0.12329783,-0.13613664,0.8654992,0.0011695907,-0.0057894737,0.23331277",0.0
3,"0.27577347,-0.29811397,0.3165165,-0.12329783,-0.13613664,0.8654992,0.0011695907,-0.0057894737,0.23331277","0.9490297,-0.40676278,0.9833348","0.3663989,-0.3540418,0.42215687,-0.06528281,-0.13209108,0.79114056,0.0011695907,-0.0057894737,0.23331277",0.0
3,"0.3663989,-0.3540418,0.42215687,-0.06528281,-0.13209108,0.79114056,0.0011695907,-0.0057894737,0.23331277","0.95349514,-0.57227594,0.98406565","0.45745078,-0.43272686,0.5278757,-0.02539938,-0.1454451,0.68831414,0.0011695907,-0.0057894737,0.23331277",0.0
3,"0.45745078,-0.43272686,0.5278757,-0.02539938,-0.1454451,0.68831414,0.0011695907,-0.0057894737,0.23331277","0.9433658,-0.32499194,0.97129893","0.54753536,-0.47741166,0.632223,0.008476727,-0.09524846,0.57973677,0.0011695907,-0.0057894737,0.23331277",0.0
3,"0.54753536,-0.47741166,0.632223,0.008476727,-0.09524846,0.57973677,0.0011695907,-0.0057894737,0.23331277","0.92997646,-0.36074924,0.95942307","0.63634133,-0.5270129,0.7352945,0.01894793,-0.05543539,0.45372796,0.0011695907,-0.0057894737,0.23331277",0.0
3,"0.63634133,-0.5270129,0.7352945,0.01894793,-0.05543539,0.45372796,0.0011695907,-0.0057894737,0.23331277","0.90238047,-0.29451025,0.9423878","0.7225121,-0.56750655,0.8365359,0.00971141,-0.02054887,0.31704217,0.0011695907,-0.0057894737,0.23331277",0.0
3,"0.7225121,-0.56750655,0.8365359,0.00971141,-0.02054887,0.31704217,0.0011695907,-0.0057894737,0.23331277","0.8713908,-0.18633407,0.5692475","0.8057236,-0.59312654,0.89769053,0.0024888862,-0.008805728,0.22887087,0.0011695907,-0.0057894737,0.23331277",0.0
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.16935673,-0.0057894737,0.49515146","-0.5831357,0.107061744,0.97363997","-0.05568523,0.014720431,0.104598776,0.17348318,-0.024783742,0.9640557,0.16935673,-0.0057894737,0.49515146",0.0
3,"-0.05568523,0.014720431,0.104598776,0.17348318,-0.024783742,0.9640557,0.16935673,-0.0057894737,0.49515146","-0.29432917,-0.31181926,0.9804723","-0.08379154,-0.028153129,0.2099316,0.2141091,-0.051705323,0.91719294,0.16935673,-0.0057894737,0.49515146",0.0
3,"-0.08379154,-0.028153129,0.2099316,0.2141091,-0.051705323,0.91719294,0.16935673,-0.0057894737,0.49515146","0.039632678,-0.43530864,0.98165727","-0.08000691,-0.08800585,0.31539172,0.21788476,-0.04997141,0.8558974,0.16935673,-0.0057894737,0.49515146",0.0
3,"-0.08000691,-0.08800585,0.31539172,0.21788476,-0.04997141,0.8558974,0.16935673,-0.0057894737,0.49515146","0.14985311,-0.47111106,0.97987175","-0.06569704,-0.15278122,0.42066002,0.20778207,-0.037589647,0.7766104,0.16935673,-0.0057894737,0.49515146",0.0
3,"-0.06569704,-0.15278122,0.42066002,0.20778207,-0.037589647,0.7766104,0.16935673,-0.0057894737,0.49515146","0.14059174,-0.4381132,0.97114444","-0.052271552,-0.21301955,0.52499074,0.19783925,-0.026915431,0.67730707,0.16935673,-0.0057894737,0.49515146",0.0
3,"-0.052271552,-0.21301955,0.52499074,0.19783925,-0.026915431,0.67730707,0.16935673,-0.0057894737,0.49515146","0.10900533,-0.4291507,0.9406152","-0.041862346,-0.2720256,0.6260417,0.18015558,-0.017990826,0.5659385,0.16935673,-0.0057894737,0.49515146",0.0
3,"-0.041862346,-0.2720256,0.6260417,0.18015558,-0.017990826,0.5659385,0.16935673,-0.0057894737,0.49515146","0.12387586,-0.20438242,0.49760747","-0.030033106,-0.30012712,0.67950004,0.17214324,-0.010475296,0.50035286,0.16935673,-0.0057894737,0.49515146",0.0
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.029473685,0.42590642,0.7237781","0.9449794,0.7122146,0.9403765","0.09023868,0.09792584,0.10102524,0.32734263,0.10139806,0.91359824,-0.029473685,0.42590642,0.7237781",0.0
3,"0.09023868,0.09792584,0.10102524,0.32734263,0.10139806,0.91359824,-0.029473685,0.42590642,0.7237781","0.9811506,0.3395369,0.88924456","0.18393144,0.14461043,0.19655736,0.44388917,0.29636413,0.7700364,-0.029473685,0.42590642,0.7237781",0.0
3,"0.18393144,0.14461043,0.19655736,0.44388917,0.29636413,0.7700364,-0.029473685,0.42590642,0.7237781","0.97491264,-0.57915974,0.76787233","0.27702853,0.06497894,0.2790504,0.29719993,0.36148334,0.76712376,-0.029473685,0.42590642,0.7237781",0.0
3,"0.27702853,0.06497894,0.2790504,0.29719993,0.36148334,0.76712376,-0.029473685,0.42590642,0.7237781","0.9491049,-0.4200142,0.5435022","0.36766118,0.007229148,0.33743924,0.16305514,0.38366553,0.7558811,-0.029473685,0.42590642,0.7237781",0.0
3,"0.36766118,0.007229148,0.33743924,0.16305514,0.38366553,0.7558811,-0.029473685,0.42590642,0.7237781","0.8192886,-0.08260578,0.24646711","0.44589728,-0.004128732,0.36391738,0.06503652,0.4131791,0.7330685,-0.029473685,0.42590642,0.7237781",0.0
3,"0.44589728,-0.004128732,0.36391738,0.06503652,0.4131791,0.7330685,-0.029473685,0.42590642,0.7237781","0.45531416,0.0023348331,0.053231955","0.4893765,-0.0038077154,0.36963618,0.0083263,0.42292386,0.72515315,-0.029473685,0.42590642,0.7237781",0.0
3,"0.4893765,-0.0038077154,0.36963618,0.0083263,0.42292386,0.72515315,-0.029473685,0.42590642,0.7237781","0.1994133,0.020332336,-0.0031749606","0.508419,-0.0010121342,0.36929515,-0.017089562,0.4270106,0.7227096,-0.029473685,0.42590642,0.7237781",0.0
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.16777779,0.39690056,0.47972226","0.9719287,0.77146626,0.94945645","0.09281215,0.106072634,0.102000706,0.34330422,0.10908101,0.9058767,-0.16777779,0.39690056,0.47972226",0.0
3,"0.09281215,0.106072634,0.102000706,0.34330422,0.10908101,0.9058767,-0.16777779,0.39690056,0.47972226","0.9808458,0.15219307,0.94394493","0.18647581,0.12699841,0.20340931,0.42109764,0.28636113,0.78437096,-0.16777779,0.39690056,0.47972226",0.0
3,"0.18647581,0.12699841,0.20340931,0.42109764,0.28636113,0.78437096,-0.16777779,0.39690056,0.47972226","0.9846771,-0.4278671,0.8970865","0.28050533,0.06816888,0.29978392,0.30733982,0.3818142,0.7370095,-0.16777779,0.39690056,0.47972226",0.0
3,"0.28050533,0.06816888,0.29978392,0.30733982,0.3818142,0.7370095,-0.16777779,0.39690056,0.47972226","0.98201084,-0.5790361,0.8658836","0.37428024,-0.011445609,0.39280638,0.15884745,0.3961011,0.7017375,-0.16777779,0.39690056,0.47972226",0.0
3,"0.37428024,-0.011445609,0.39280638,0.15884745,0.3961011,0.7017375,-0.16777779,0.39690056,0.47972226","0.96470857,-0.42235267,0.8535738","0.46640292,-0.06951694,0.48450637,0.035496723,0.39002118,0.6300092,-0.16777779,0.39690056,0.47972226",0.0
3,"0.46640292,-0.06951694,0.48450637,0.035496723,0.39002118,0.6300092,-0.16777779,0.39690056,0.47972226","0.9002948,-0.17059714,0.7953681","0.55237454,-0.09297318,0.5699533,-0.06995111,0.38593444,0.5243596,-0.16777779,0.39690056,0.47972226",0.0
3,"0.55237454,-0.09297318,0.5699533,-0.06995111,0.38593444,0.5243596,-0.16777779,0.39690056,0.47972226","0.6230571,0.07800889,0.15299296","0.611872,-0.08224737,0.5863894,-0.14611158,0.38165,0.4885057,-0.16777779,0.39690056,0.47972226",0.0
3,"0.611872,-0.08224737,0.5863894,-0.14611158,0.38165,0.4885057,-0.16777779,0.39690056,0.47972226","0.16872668,0.17740214,-0.090970874","0.62798417,-0.057855494,0.5766164,-0.1759106,0.39887372,0.47856006,-0.16777779,0.39690056,0.47972226",0.0
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.16801171,-0.022163741,0.49515146","-0.6887796,0.075513005,0.97272635","-0.06577345,0.010382641,0.10450062,0.16351007,-0.02836091,0.96590775,0.16801171,-0.022163741,0.49515146",0.0
3,"-0.06577345,0.010382641,0.10450062,0.16351007,-0.02836091,0.96590775,0.16801171,-0.022163741,0.49515146","-0.40400517,-0.33728957,0.9809418","-0.104353026,-0.035992958,0.20988387,0.19524479,-0.060289346,0.9212883,0.16801171,-0.022163741,0.49515146",0.0
3,"-0.104353026,-0.035992958,0.20988387,0.19524479,-0.060289346,0.9212883,0.16801171,-0.022163741,0.49515146","-0.050185442,-0.41012752,0.9816146","-0.10914538,-0.0923834,0.3153394,0.20450532,-0.066859916,0.85829055,0.16801171,-0.022163741,0.49515146",0.0
3,"-0.10914538,-0.0923834,0.3153394,0.20450532,-0.066859916,0.85829055,0.16801171,-0.022163741,0.49515146","0.121068835,-0.46347064,0.97999024","-0.097584195,-0.15610825,0.42062044,0.19740243,-0.05641549,0.77834547,0.16801171,-0.022163741,0.49515146",0.0
3,"-0.097584195,-0.15610825,0.42062044,0.19740243,-0.05641549,0.77834547,0.16801171,-0.022163741,0.49515146","0.14050436,-0.43826544,0.97173226","-0.084167056,-0.21636751,0.52501434,0.18915099,-0.04521662,0.6788848,0.16801171,-0.022163741,0.49515146",0.0
3,"-0.084167056,-0.21636751,0.52501434,0.18915099,-0.04521662,0.6788848,0.16801171,-0.022163741,0.49515146","0.11070645,-0.43220592,0.94222164","-0.073595405,-0.27579364,0.6262378,0.17267893,-0.034703884,0.5672996,0.16801171,-0.022163741,0.49515146",0.0
3,"-0.073595405,-0.27579364,0.6262378,0.17267893,-0.034703884,0.5672996,0.16801171,-0.022163741,0.49515146","0.11855197,-0.21416426,0.50972795","-0.062274564,-0.30524015,0.68099827,0.16481802,-0.026761312,0.5002569,0.16801171,-0.022163741,0.49515146",0.0
