uoc,state,action,next_state,reward
3,"-0.33441803,-0.24742913,0.5703573,0.094698414,-0.15367454,0.6326574,0.08456141,-0.14,0.62760717","6.723404e-05,-0.0006790757,0.0003874302","-0.33441162,-0.24752253,0.57039905,0.09464777,-0.15357906,0.6326419,0.08456141,-0.14,0.62760717",0.0
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.1634503,-0.0057894737,0.62760717","-0.571465,0.07464492,0.9639363","-0.05457076,0.010263284,0.10355631,0.16292192,-0.022332937,0.9664099,0.1634503,-0.0057894737,0.62760717",0.0
3,"-0.05457076,0.010263284,0.10355631,0.16292192,-0.022332937,0.9664099,0.1634503,-0.0057894737,0.62760717","-0.117529094,-0.35715497,0.9753027","-0.06579395,-0.038843703,0.20833375,0.19357695,-0.034676604,0.9238469,0.1634503,-0.0057894737,0.62760717",0.0
3,"-0.06579395,-0.038843703,0.20833375,0.19357695,-0.034676604,0.9238469,0.1634503,-0.0057894737,0.62760717","0.0027006865,-0.47761643,0.9734541","-0.06553606,-0.104513526,0.31291258,0.1863837,-0.03301173,0.86660177,0.1634503,-0.0057894737,0.62760717",0.0
3,"-0.06553606,-0.104513526,0.31291258,0.1863837,-0.03301173,0.86660177,0.1634503,-0.0057894737,0.62760717","0.07821822,-0.43589318,0.96406436","-0.058066793,-0.16444662,0.4164827,0.18457471,-0.028162213,0.78704906,0.1634503,-0.0057894737,0.62760717",0.0
3,"-0.058066793,-0.16444662,0.4164827,0.18457471,-0.028162213,0.78704906,0.1634503,-0.0057894737,0.62760717","0.09790039,-0.42355573,0.9137721","-0.048718028,-0.22268339,0.51464987,0.17514428,-0.021159923,0.6951097,0.1634503,-0.0057894737,0.62760717",0.0
3,"-0.048718028,-0.22268339,0.51464987,0.17514428,-0.021159923,0.6951097,0.1634503,-0.0057894737,0.62760717","0.112948895,-0.23830116,0.4998572","-0.037932236,-0.25544858,0.56834996,0.16670692,-0.014130135,0.6387619,0.1634503,-0.0057894737,0.62760717",0.0
3,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.41426903,0.3150877,0.79726297","0.7249429,0.8383523,0.8434757","0.069226794,0.11526914,0.09061512,0.35484236,0.0843409,0.90642846,0.41426903,0.3150877,0.79726297",0.0
3,"0.069226794,0.11526914,0.09061512,0.35484236,0.0843409,0.90642846,0.41426903,0.3150877,0.79726297","0.8885524,0.539688,0.5870708","0.15407711,0.18947347,0.15368451,0.50332695,0.27117333,0.7599661,0.41426903,0.3150877,0.79726297",0.0
3,"0.15407711,0.18947347,0.15368451,0.50332695,0.27117333,0.7599661,0.41426903,0.3150877,0.79726297","0.6332891,-0.09749532,0.056685686","0.21455163,0.17606838,0.1597743,0.4294496,0.3504723,0.7713199,0.41426903,0.3150877,0.79726297",0.0
