uoc,state,action,next_state,reward
7,"0.36813813,-0.60895884,-0.50216824,-0.2787308,-0.61953074,-0.4980334,-0.09017544,-0.37976608,-0.74957925","0.39890575,-0.91872203,-0.91277945","0.40623075,-0.7352785,-0.60022867,-0.12883924,-0.40469807,-0.690072,-0.09017544,-0.37976608,-0.74957925",0.0
7,"0.40623075,-0.7352785,-0.60022867,-0.12883924,-0.40469807,-0.690072,-0.09017544,-0.37976608,-0.74957925","0.20251429,-0.34986943,0.14069259","0.4255694,-0.7833837,-0.5851139,-0.09583447,-0.37736672,-0.74187475,-0.09017544,-0.37976608,-0.74957925",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.0654386,-0.110701755,-0.7433683","0.060099244,0.95865667,0.9278693","0.005739047,0.13181037,0.09968158,0.40810686,0.013148976,0.88361365,0.0654386,-0.110701755,-0.7433683",0.0
7,"0.005739047,0.13181037,0.09968158,0.40810686,0.013148976,0.88361365,0.0654386,-0.110701755,-0.7433683","-0.5827826,0.97105277,0.7856314","-0.049912456,0.26532513,0.18408245,0.70649403,-0.105837755,0.6015157,0.0654386,-0.110701755,-0.7433683",0.0
7,"-0.049912456,0.26532513,0.18408245,0.70649403,-0.105837755,0.6015157,0.0654386,-0.110701755,-0.7433683","-0.058300078,0.92431426,0.9338832","-0.055479694,0.39241362,0.2844101,0.85947704,-0.14545965,0.19959469,0.0654386,-0.110701755,-0.7433683",0.0
7,"-0.055479694,0.39241362,0.2844101,0.85947704,-0.14545965,0.19959469,0.0654386,-0.110701755,-0.7433683","-0.81987387,0.7084068,0.9840057","-0.1337717,0.48981595,0.3901224,0.7778279,-0.34125492,-0.16186924,0.0654386,-0.110701755,-0.7433683",0.0
7,"-0.1337717,0.48981595,0.3901224,0.7778279,-0.34125492,-0.16186924,0.0654386,-0.110701755,-0.7433683","-0.6886007,0.96131754,0.9079249","-0.19952807,0.62199223,0.48766133,0.56061035,-0.39889085,-0.5106062,0.0654386,-0.110701755,-0.7433683",0.0
7,"-0.19952807,0.62199223,0.48766133,0.56061035,-0.39889085,-0.5106062,0.0654386,-0.110701755,-0.7433683","-0.84727836,0.9714978,0.7840551","-0.28043702,0.7555682,0.5718928,0.28494728,-0.33630973,-0.7168494,0.0654386,-0.110701755,-0.7433683",0.0
7,"-0.28043702,0.7555682,0.5718928,0.28494728,-0.33630973,-0.7168494,0.0654386,-0.110701755,-0.7433683","-0.32527947,0.9118149,0.6883726","-0.31149882,0.88093805,0.645845,0.10989004,-0.15297587,-0.774404,0.0654386,-0.110701755,-0.7433683",0.0
7,"-0.31149882,0.88093805,0.645845,0.10989004,-0.15297587,-0.774404,0.0654386,-0.110701755,-0.7433683","-0.23887366,0.09132147,0.3727721","-0.33430955,0.89349437,0.6858921,0.06878868,-0.108353205,-0.7412538,0.0654386,-0.110701755,-0.7433683",0.0
