uoc,state,action,next_state,reward
7,"0.46335298,-0.43699348,-0.54424155,-0.08763031,-0.707399,-0.23690301,-0.062397663,-0.6830409,-0.15444382","0.024972558,0.4482062,-0.53124005","0.46573767,-0.3753675,-0.601313,-0.07675778,-0.6564821,-0.1878908,-0.062397663,-0.6830409,-0.15444382",0.0
7,"0.46573767,-0.3753675,-0.601313,-0.07675778,-0.6564821,-0.1878908,-0.062397663,-0.6830409,-0.15444382","0.05892551,0.1361816,0.042503476","0.47136465,-0.3566433,-0.5967468,-0.06576248,-0.6646261,-0.15311345,-0.062397663,-0.6830409,-0.15444382",0.0
7,"0.47136465,-0.3566433,-0.5967468,-0.06576248,-0.6646261,-0.15311345,-0.062397663,-0.6830409,-0.15444382","0.009343147,-0.06078601,0.12801278","0.47225684,-0.3650011,-0.5829943,-0.065120324,-0.67878073,-0.1529269,-0.062397663,-0.6830409,-0.15444382",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.21923977,0.12526315,-0.69426954","-0.09498131,0.9690522,0.9425204","-0.00907002,0.1332397,0.10125556,0.41291565,-0.005977344,0.8808567,0.21923977,0.12526315,-0.69426954",0.0
7,"-0.00907002,0.1332397,0.10125556,0.41291565,-0.005977344,0.8808567,0.21923977,0.12526315,-0.69426954","0.8444817,0.95136845,0.9403055","0.07157186,0.26404798,0.20227315,0.70421505,0.16700478,0.57823807,0.21923977,0.12526315,-0.69426954",0.0
7,"0.07157186,0.26404798,0.20227315,0.70421505,0.16700478,0.57823807,0.21923977,0.12526315,-0.69426954","0.58166385,0.9252517,0.9348315","0.12711653,0.39126533,0.30270267,0.7977705,0.34296393,0.17363487,0.21923977,0.12526315,-0.69426954",0.0
7,"0.12711653,0.39126533,0.30270267,0.7977705,0.34296393,0.17363487,0.21923977,0.12526315,-0.69426954","0.010953903,0.89459395,0.9427631","0.12816256,0.51426744,0.4039843,0.7652266,0.33220497,-0.22953475,0.21923977,0.12526315,-0.69426954",0.0
7,"0.12816256,0.51426744,0.4039843,0.7652266,0.33220497,-0.22953475,0.21923977,0.12526315,-0.69426954","0.06823027,0.89895463,0.9583528","0.13467805,0.63786906,0.5069407,0.5905406,0.2722704,-0.54764223,0.21923977,0.12526315,-0.69426954",0.0
7,"0.13467805,0.63786906,0.5069407,0.5905406,0.2722704,-0.54764223,0.21923977,0.12526315,-0.69426954","0.06917572,0.8176675,0.9295887","0.14128383,0.7502942,0.60680693,0.35753202,0.17641765,-0.7034711,0.21923977,0.12526315,-0.69426954",0.0
7,"0.14128383,0.7502942,0.60680693,0.35753202,0.17641765,-0.7034711,0.21923977,0.12526315,-0.69426954","0.1086874,0.22230542,0.70688796","0.15166269,0.7808601,0.6827483,0.23186024,0.1261837,-0.6898894,0.21923977,0.12526315,-0.69426954",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.10602339,-0.44233918,-0.5093807","0.91439533,-0.91438854,-0.94902116","0.08731811,-0.12572372,-0.10195394,-0.38568705,-0.10252331,0.8877151,-0.10602339,-0.44233918,-0.5093807",0.0
7,"0.08731811,-0.12572372,-0.10195394,-0.38568705,-0.10252331,0.8877151,-0.10602339,-0.44233918,-0.5093807","0.92970955,-0.8454845,-0.9441613","0.17609861,-0.24197349,-0.2033858,-0.5931904,-0.35952663,0.614842,-0.10602339,-0.44233918,-0.5093807",0.0
7,"0.17609861,-0.24197349,-0.2033858,-0.5931904,-0.35952663,0.614842,-0.10602339,-0.44233918,-0.5093807","0.8948008,-0.8137853,-0.9372072","0.2615456,-0.35386482,-0.30407053,-0.5790731,-0.61418253,0.24966401,-0.10602339,-0.44233918,-0.5093807",0.0
7,"0.2615456,-0.35386482,-0.30407053,-0.5790731,-0.61418253,0.24966401,-0.10602339,-0.44233918,-0.5093807","0.89602876,-0.7618356,-0.9348586","0.34710985,-0.4586133,-0.40450296,-0.3931565,-0.74207187,-0.116429195,-0.10602339,-0.44233918,-0.5093807",0.0
7,"0.34710985,-0.4586133,-0.40450296,-0.3931565,-0.74207187,-0.116429195,-0.10602339,-0.44233918,-0.5093807","0.5904342,-0.4498034,-0.9447912","0.40349203,-0.520459,-0.5060025,-0.22273281,-0.6926004,-0.34860152,-0.10602339,-0.44233918,-0.5093807",0.0
7,"0.40349203,-0.520459,-0.5060025,-0.22273281,-0.6926004,-0.34860152,-0.10602339,-0.44233918,-0.5093807","0.029277205,-0.7120757,-0.8991003","0.40628776,-0.61836576,-0.6025933,-0.16129701,-0.5120051,-0.5521744,-0.10602339,-0.44233918,-0.5093807",0.0
7,"0.40628776,-0.61836576,-0.6025933,-0.16129701,-0.5120051,-0.5521744,-0.10602339,-0.44233918,-0.5093807","0.14266646,0.24179435,-0.6950847","0.41991138,-0.5851204,-0.67726666,-0.120067194,-0.44384176,-0.5165968,-0.10602339,-0.44233918,-0.5093807",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.22339182,0.0705848,-0.35214671","0.27779067,0.93357706,0.8855485","0.026526999,0.12836204,0.09513503,0.39426395,0.038742393,0.89074135,0.22339182,0.0705848,-0.35214671",0.0
7,"0.026526999,0.12836204,0.09513503,0.39426395,0.038742393,0.89074135,0.22339182,0.0705848,-0.35214671","0.5471834,0.79759586,0.95656204","0.07877905,0.2380274,0.1978991,0.66206235,0.17325595,0.6290427,0.22339182,0.0705848,-0.35214671",0.0
7,"0.07877905,0.2380274,0.1978991,0.66206235,0.17325595,0.6290427,0.22339182,0.0705848,-0.35214671","0.1949848,0.7325201,0.9538138","0.097398676,0.33874515,0.3003679,0.79243207,0.25640783,0.28636888,0.22339182,0.0705848,-0.35214671",0.0
7,"0.097398676,0.33874515,0.3003679,0.79243207,0.25640783,0.28636888,0.22339182,0.0705848,-0.35214671","0.01625061,0.67448366,0.95257723","0.09895049,0.4314832,0.40270388,0.7974109,0.26227218,-0.058422685,0.22339182,0.0705848,-0.35214671",0.0
7,"0.09895049,0.4314832,0.40270388,0.7974109,0.26227218,-0.058422685,0.22339182,0.0705848,-0.35214671","-0.18130976,0.28922904,0.945765","0.08163673,0.47125077,0.50430804,0.7213252,0.19514942,-0.25840673,0.22339182,0.0705848,-0.35214671",0.0
7,"0.08163673,0.47125077,0.50430804,0.7213252,0.19514942,-0.25840673,0.22339182,0.0705848,-0.35214671","0.044554472,0.15918183,0.928828","0.08589135,0.4931375,0.6040926,0.5957628,0.17078395,-0.37500045,0.22339182,0.0705848,-0.35214671",0.0
7,"0.08589135,0.4931375,0.6040926,0.5957628,0.17078395,-0.37500045,0.22339182,0.0705848,-0.35214671","0.07985735,-0.14539373,0.9262184","0.09351715,0.47314668,0.7035968,0.47326645,0.14923476,-0.38783306,0.22339182,0.0705848,-0.35214671",0.0
7,"0.09351715,0.47314668,0.7035968,0.47326645,0.14923476,-0.38783306,0.22339182,0.0705848,-0.35214671","0.115873456,-0.15686691,0.8865769","0.10458222,0.45157835,0.79884225,0.35273466,0.12636805,-0.3701069,0.22339182,0.0705848,-0.35214671",0.0
7,"0.10458222,0.45157835,0.79884225,0.35273466,0.12636805,-0.3701069,0.22339182,0.0705848,-0.35214671","-0.08466554,0.07468116,0.7652924","0.096497275,0.4618467,0.8810581,0.24403936,0.08240103,-0.35252324,0.22339182,0.0705848,-0.35214671",0.0
